60-0|pressure
70-10|1.2 time
70-11|time upper
70-12|upper limit
70-13|limit of
70-14|liver function test
70-15|function test alt/ast
70-16|test alt/ast le
70-17|alt/ast le than
70-18|le than 1.2
70-19|than 1.2 time
70-20|1.2 time upper
70-21|time upper limit
70-22|upper limit of
70-23|limit of normal
71-0|creatinine
71-1|time
71-2|limit
71-3|creatinine less
71-4|1.5 time
71-5|time upper
71-6|upper limit
71-7|limit of
71-8|creatinine less than
71-9|than 1.5 time
71-10|1.5 time upper
71-11|time upper limit
71-12|upper limit of
71-13|limit of normal
72-0|serum
72-1|betahcg
72-2|woman
72-3|age
72-4|negative serum
72-5|serum betahcg
72-6|betahcg for
72-7|for woman
72-8|woman of
72-9|childbearing age
72-10|negative serum betahcg
72-11|serum betahcg for
72-12|betahcg for woman
72-13|for woman of
72-14|woman of childbearing
72-15|of childbearing age
73-0|adequate
73-1|birth
73-2|control
73-3|e.g.
73-4|contraceptive
73-5|norplant
73-6|woman
73-7|age
73-8|adequate birth
73-9|birth control
73-10|control e.g.
73-11|e.g. oral
73-12|oral contraceptive
73-13|contraceptive norplant
73-14|norplant for
73-15|all woman
73-16|woman of
73-17|child-bearing age
73-18|adequate birth control
73-19|birth control e.g.
73-20|control e.g. oral
73-21|e.g. oral contraceptive
73-22|oral contraceptive norplant
73-23|contraceptive norplant for
73-24|norplant for all
73-25|for all woman
73-26|all woman of
73-27|woman of child-bearing
73-28|of child-bearing age
74-0|sufficient
74-1|function
74-2|english
74-3|language
74-4|skill
74-5|questionnaire
74-6|staff
74-7|titration
74-8|study
74-9|drug
74-10|sufficient cognitive
74-11|cognitive function
74-12|function and
74-13|and english
74-14|english language
74-15|language skill
74-16|skill to
74-17|complete questionnaire
74-18|questionnaire and
74-19|nurse staff
74-20|staff to
74-21|permit titration
74-22|titration of
74-23|the study
74-24|study drug
74-25|sufficient cognitive function
74-26|cognitive function and
74-27|function and english
74-28|and english language
74-29|english language skill
74-30|language skill to
74-31|skill to complete
74-32|to complete questionnaire
74-33|complete questionnaire and
74-34|questionnaire and communicate
74-35|the nurse staff
74-36|nurse staff to
74-37|staff to permit
74-38|to permit titration
74-39|permit titration of
74-40|titration of the
74-41|of the study
74-42|the study drug
75-0|presence
75-1|condition
75-2|pain
75-3|condition
75-4|no presence
75-5|presence of
75-6|painful condition
75-7|condition a
75-8|orofacial pain
75-9|pain condition
75-10|no presence of
75-11|presence of a
75-12|a painful condition
75-13|painful condition a
75-14|condition a severe
75-15|their orofacial pain
75-16|orofacial pain condition
76-0|pregnant
76-1|woman
76-2|no pregnant
76-3|pregnant or
76-4|lactate woman
76-5|no pregnant or
76-6|pregnant or lactate
76-7|or lactate woman
77-0|patient
77-1|disease
77-2|patient must
77-3|hepatic disease
77-4|patient must not
77-5|or hepatic disease
78-0|patient
78-1|heart
78-2|disease
78-3|mi
78-4|year
78-5|angina
78-6|heart
78-7|failure
78-8|patient must
78-9|severe heart
78-10|heart disease
78-11|disease mi
78-12|mi within
78-13|precede year
78-14|year unstable
78-15|unstable angina
78-16|angina or
78-17|congestive heart
78-18|heart failure
78-19|patient must not
78-20|to severe heart
78-21|severe heart disease
78-22|heart disease mi
78-23|disease mi within
78-24|mi within precede
78-25|within precede year
78-26|precede year unstable
78-27|year unstable angina
78-28|unstable angina or
78-29|angina or congestive
78-30|or congestive heart
78-31|congestive heart failure
79-0|sign
79-1|symptom
79-2|neurologic
79-3|disorder
79-4|seizure
79-5|no sign
79-6|sign or
79-7|or symptom
79-8|symptom of
79-9|central neurologic
79-10|neurologic disorder
79-11|disorder include
79-12|include seizure
79-13|no sign or
79-14|sign or symptom
79-15|or symptom of
79-16|symptom of any
79-17|any central neurologic
79-18|central neurologic disorder
79-19|neurologic disorder include
79-20|disorder include seizure
